,ID,Title,Content,Time,Place
1,020001,Motto ,"Das ist die Sehnsucht: wohnen im Gewogeund keine Heimat haben in der Zeit.Und das sind Wünsche: leise Dialogetäglicher Stunden mit der Ewigkeit.Und das ist Leben. Bis aus einem Gesterndie einsamste Stunde steigt,die, anders lächelnd als die andern Schwestern,dem Ewigen entgegenschweigt.",3.11.1897,Berlin-Wilmersdorf
2,020002,Ich bin so jung,"Ich bin so jung. Ich möchte jedem Klange, der mir vorüberrauscht, mich schaudernd schenken, und willig in des Windes liebem Zwange, wie Windendes über dem Gartengange, will meine Sehnsucht ihre Ranken schwenken,  Und jeder Rüstung bar will ich mich brüsten, solang ich fühle, wie die Brust sich breitet. Denn es ist Zeit, sich reisig auszurüsten, wenn aus der frühen Kühle dieser Küsten der Tag mich in die Binnenlande leitet. ",28.11.1897,Berlin-Wilmersdorf
3,020003,Ich will ein Garten sein,"Ich will ein Garten sein, an dessen Bronnen die vielen Träume neue Blumen brächen, die einen abgesondert und versonnen, und die geeint in schweigsamen Gesprächen.  Und wo sie schreiten, über ihren Häupten will ich mit Worten wie mit Wipfeln rauschen, und wo sie ruhen, will ich den Betäubten mit meinem Schweigen in den Schlummer lauschen. ",31.12.1897,Berlin-Wilmersdorf
4,020004,Ich will nicht langen,"Ich will nicht langen nach dem lauten Leben und keinen fragen nach dem fremden Tage: Ich fühle, wie ich weiße Blüten trage, die in der Kühle ihre Kelche heben.  Es drängen Viele aus den Frühlingserden, darinnen ihre Wurzeln Tiefen trinken, um nicht mehr könnend in die Knie zu sinken vor Sommern, die sie niemals segnen werden.  ",28.11.1897,Berlin-Wilmersdorf
5,020005,Meine frühverliehnen Lieder ,"Meine frühverliehnen Lieder oft in der Ruh überrankter Ruinen sang ich dem Abend sie zu.  Hätte sie gerne zu Ronden aneinandergereiht, einer erwachsenen Blonden als Geschenk und Geschmeid.  Aber unter allen war ich einzig allein; und so ließ ich sie fallen: sie verrollten wie lose Korallen weit in den Abend hinein. ",25.11.1897,Berlin-Wilmersdorf
6,020006,Die armen Worte ,"Die armen Worte, die im Alltag darben, die unscheinbaren Worte, lieb ich so. Aus meinen Festen schenk ich ihnen Farben, da lächeln sie und werden langsam froh.  Ihr Wesen, das sie bang in sich bezwangen, erneut sich deutlich, dass es jeder sieht; sie sind noch niemals im Gesang gegangen und schauernd schreiten sie in meinem Lied. ",6.11.1897,Berlin-Wilmersdorf
7,020007,Arme Heilige,"Arme Heilige aus Holz kam meine Mutter beschenken; und sie staunten stumm und stolz hinter den harten Bänken.  Haben ihrem heißen Mühn sicher den Dank vergessen, kannten nur das Kerzenglühn ihrer kalten Messen.  Aber meine Mutter kam ihnen Blumen geben. Meine Mutter die Blumen nahm alle aus meinem Leben. ",17.11.1897,Berlin-Wilmersdorf
8,020008,Immer den gleichen Pfad,"Ich geh jetzt immer den gleichen Pfad: am Garten entlang, wo die Rosen grad Einem sich vorbereiten; aber ich fühle: noch lang, noch lang ist das alles nicht mein Empfang, und ich muss ohne Dank und Klang ihnen vorüberschreiten. Ich bin nur der, der den Zug beginnt,dem die Gaben nicht galten;bis die kommen, die seliger sind,lichte, stille Gestalten, -werden sich alle Rosen im Windwie rote Fahnen entfalten.",30.4.1898,Florenz - Torre al Gallo
9,020009,Das ist der Tag,"Das ist der Tag, in dem ich traurig throne,das ist die Nacht, die mich ins Knieen warf;da bet ich: dass ich einmal meine Kronevon meinem Haupte heben darf.Lang muss ich ihrem dumpfen Drucke dienen,darf ich zum Dank nicht einmal ihren blaunTürkisen, ihren Rauten und Rubinenerschauernd in die Augen schaun?Vielleicht erstarb schon lang der Strahl der Steine,es stahl sie mir vielleicht mein Gast, der Gram,vielleicht auch waren in der Krone keine,die ich bekam?...",21.11.1897,Berlin-Wilmersdorf
10,020010,Weiße Seelen,"Weiße Seelen mit den Silberschwingen,Kinderseelen, die noch niemals sangen,-die nur leis in immer weitern Ringenzu dem Leben ziehn, vor dem sie bangen,werdet ihr nicht euren Traum enttäuschen,wenn die Stimmen draußen euch erwachen,-und ihr könnt aus tausend Taggeräuschennicht mehr lösen euer Liederlachen?",29.11.1897,Berlin-Wilmersdorf
